Score_bruto,5_anos,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
1,70,52,84,67,24,4,26,5,21,8,0
2,74,55,86,68,27,7,28,8,23,11,0
3,77,58,87,70,29,10,31,11,25,13,0
4,80,62,89,71,32,13,33,14,27,16,0
5,84,65,90,73,35,16,36,17,30,18,0
6,87,69,91,74,37,19,38,19,32,21,0
7,91,72,93,76,40,22,41,22,34,23,0
8,94,75,94,77,42,25,43,25,37,26,0
9,97,79,96,79,45,28,46,28,39,28,0
10,101,82,97,80,47,31,48,31,41,31,0
11,104,86,98,82,50,34,51,34,43,34,0
12,108,89,100,84,52,37,53,36,46,36,2
13,111,92,101,85,55,40,56,39,48,39,5
14,114,96,103,87,57,43,58,42,50,41,8
15,118,99,104,88,60,46,61,45,52,44,11
16,121,102,105,90,63,49,63,48,55,46,14
17,125,106,107,91,65,52,66,50,57,49,17
18,128,109,108,93,68,55,68,53,59,51,20
19,131,113,110,94,70,58,71,56,61,54,23
20,135,116,111,96,73,61,73,59,64,56,26
21,138,119,112,97,75,64,76,62,66,59,29
22,142,123,114,99,78,66,78,65,68,61,32
23,145,126,115,100,80,69,81,67,70,64,35
24,149,130,117,102,83,72,83,70,73,66,38
25,152,133,118,104,85,75,86,73,75,69,41
26,155,136,119,105,88,78,88,76,77,72,44
27,159,140,121,107,91,81,91,79,80,74,47
28,162,143,122,108,93,84,93,82,82,77,50
29,166,146,123,110,96,87,96,84,84,79,53
30,169,150,125,111,98,90,98,87,86,82,56
31,172,153,126,113,101,93,101,90,89,84,59
32,176,157,128,114,103,96,103,93,91,87,62
33,179,160,129,116,106,99,106,96,93,89,65
34,183,163,130,117,108,102,108,98,95,92,68
35,186,167,132,119,111,105,111,101,98,94,71
36,189,170,133,120,113,108,113,104,100,97,75
37,193,174,135,122,116,111,116,107,102,99,78
38,196,177,136,124,118,114,118,110,104,102,81
39,200,180,137,125,121,117,121,113,107,104,84
40,203,184,139,127,124,120,123,115,109,107,87
41,206,187,140,128,126,123,126,118,111,110,90
42,210,190,142,130,129,126,128,121,114,112,93
43,213,194,143,131,131,129,131,124,116,115,96
44,217,197,144,133,134,131,133,127,118,117,99
45,220,201,146,134,136,134,136,130,120,120,102
46,223,204,147,136,139,137,138,132,123,122,105
47,227,207,149,137,141,140,141,135,125,125,108
48,230,211,150,139,144,143,143,138,127,127,111
49,234,214,151,141,146,146,146,141,129,130,114
50,237,218,153,142,149,149,148,144,132,132,117
51,240,221,154,144,152,152,151,146,134,135,120
52,244,224,155,145,154,155,153,149,136,137,123
