Score_bruto,5_anos,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
1,57,41,58,59,42,0,0,0,9,0,0
2,58,42,59,59,43,0,2,1,10,0,0
3,60,44,60,60,44,0,3,2,11,0,0
4,61,45,61,61,45,2,4,4,12,0,0
5,62,46,62,62,45,3,5,5,13,0,0
6,64,48,63,62,46,4,7,6,14,0,0
7,65,49,64,63,47,5,8,7,15,0,0
8,66,50,65,64,48,7,9,9,16,0,0
9,68,52,66,65,49,8,11,10,17,0,0
10,69,53,67,65,50,9,12,11,18,0,0
11,70,54,68,66,51,11,13,12,19,0,0
12,72,56,69,67,51,12,15,14,20,0,0
13,73,57,70,68,52,13,16,15,21,0,0
14,74,58,71,68,53,15,17,16,23,0,0
15,76,60,72,69,54,16,18,17,24,0,0
16,77,61,73,70,55,17,20,19,25,2,0
17,78,62,74,71,56,18,21,20,26,3,0
18,80,64,75,71,57,20,22,21,27,4,0
19,81,65,76,72,57,21,24,22,28,6,0
20,82,66,77,73,58,22,25,24,29,7,0
21,84,67,78,74,59,24,26,25,30,8,0
22,85,69,79,75,60,25,27,26,31,9,0
23,87,70,80,75,61,26,29,27,32,11,0
24,88,71,80,76,62,28,30,29,33,12,0
25,89,73,81,77,63,29,31,30,34,13,0
26,91,74,82,78,63,30,33,31,35,15,0
27,92,75,83,78,64,31,34,32,36,16,0
28,93,77,84,79,65,33,35,34,37,17,0
29,95,78,85,80,66,34,36,35,38,18,0
30,96,79,86,81,67,35,38,36,40,20,0
31,97,81,87,81,68,37,39,37,41,21,0
32,99,82,88,82,69,38,40,39,42,22,0
33,100,83,89,83,69,39,42,40,43,24,0
34,101,85,90,84,70,41,43,41,44,25,0
35,103,86,91,84,71,42,44,42,45,26,0
36,104,87,92,85,72,43,45,44,46,27,0
37,105,89,93,86,73,44,47,45,47,29,0
38,107,90,94,87,74,46,48,46,48,30,0
39,108,91,95,87,75,47,49,47,49,31,0
40,110,93,96,88,75,48,51,49,50,33,0
41,111,94,97,89,76,50,52,50,51,34,0
42,112,95,98,90,77,51,53,51,52,35,0
43,114,97,99,90,78,52,55,52,53,36,0
44,115,98,100,91,79,54,56,54,54,38,0
45,116,99,101,92,80,55,57,55,55,39,0
46,118,100,102,93,81,56,58,56,56,40,0
47,119,102,103,94,81,58,60,57,58,42,0
48,120,103,104,94,82,59,61,59,59,43,0
49,122,104,105,95,83,60,62,60,60,44,0
50,123,106,106,96,84,61,64,61,61,46,0
51,124,107,107,97,85,63,65,62,62,47,0
52,126,108,108,97,86,64,66,64,63,48,0
53,127,110,109,98,87,65,67,65,64,49,0
54,128,111,110,99,87,67,69,66,65,51,0
55,130,112,111,100,88,68,70,67,66,52,0
56,131,114,112,100,89,69,71,69,67,53,0
57,133,115,113,101,90,71,73,70,68,55,0
58,134,116,114,102,91,72,74,71,69,56,0
59,135,118,115,103,92,73,75,72,70,57,0
60,137,119,116,103,93,74,76,74,71,58,0
61,138,120,117,104,93,76,78,75,72,60,0
62,139,122,118,105,94,77,79,76,73,61,0
63,141,123,119,106,95,78,80,77,75,62,0
64,142,124,120,106,96,80,82,79,76,64,0
65,143,126,121,107,97,81,83,80,77,65,0
66,145,127,122,108,98,82,84,81,78,66,0
67,146,128,123,109,99,84,85,82,79,67,3
68,147,130,123,110,99,85,87,84,80,69,6
69,149,131,124,110,100,86,88,85,81,70,9
70,150,132,125,111,101,87,89,86,82,71,11
71,151,133,126,112,102,89,91,87,83,73,14
72,153,135,127,113,103,90,92,89,84,74,17
73,154,136,128,113,104,91,93,90,85,75,20
74,156,137,129,114,105,93,95,91,86,76,23
75,157,139,130,115,105,94,96,92,87,78,26
76,158,140,131,116,106,95,97,94,88,79,29
77,160,141,132,116,107,97,98,95,89,80,32
78,161,143,133,117,108,98,100,96,90,82,35
79,162,144,134,118,109,99,101,97,92,83,38
80,164,145,135,119,110,100,102,99,93,84,40
81,165,147,136,119,111,102,104,100,94,86,43
82,166,148,137,120,111,103,105,101,95,87,46
83,168,149,138,121,112,104,106,102,96,88,49
84,169,151,139,122,113,106,107,104,97,89,52
85,170,152,140,122,114,107,109,105,98,91,55
86,172,153,141,123,115,108,110,106,99,92,58
87,173,155,142,124,116,110,111,107,100,93,61
88,174,156,143,125,117,111,113,109,101,95,64
89,176,157,144,126,117,112,114,110,102,96,66
90,177,159,145,126,118,113,115,111,103,97,69
91,179,160,146,127,119,115,116,112,104,98,72
92,180,161,147,128,120,116,118,114,105,100,75
93,181,163,148,129,121,117,119,115,106,101,78
94,183,164,149,129,122,119,120,116,107,102,81
95,184,165,150,130,123,120,122,117,108,104,84
96,185,166,151,131,123,121,123,119,110,105,87
97,187,168,152,132,124,123,124,120,111,106,90
98,188,169,153,132,125,124,125,121,112,107,93
99,189,170,154,133,126,125,127,122,113,109,95
100,191,172,155,134,127,126,128,124,114,110,98
101,192,173,156,135,128,128,129,125,115,111,101
102,193,174,157,135,129,129,131,126,116,113,104
103,195,176,158,136,129,130,132,127,117,114,107
104,196,177,159,137,130,132,133,129,118,115,110
105,197,178,160,138,131,133,135,130,119,117,113
106,199,180,161,138,132,134,136,131,120,118,116
107,200,181,162,139,133,136,137,132,121,119,119
108,202,182,163,140,134,137,138,134,122,120,121
109,203,184,164,141,135,138,140,135,123,122,124
