Score_bruto,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
1,82,86,82,87,68,44,39,46,31,0
2,87,89,86,90,71,48,43,49,35,0
3,91,93,89,93,74,52,47,53,40,0
4,95,96,93,96,77,57,51,56,44,2
5,99,100,96,98,80,61,55,60,48,7
6,103,103,99,101,83,65,59,63,52,12
7,108,107,103,104,86,69,63,67,56,17
8,112,110,106,107,89,73,67,71,60,22
9,116,114,110,109,92,77,71,74,64,27
10,120,117,113,112,95,81,75,78,68,33
11,125,121,117,115,98,85,79,81,72,38
12,129,124,120,118,101,89,83,85,76,43
13,133,128,124,120,104,94,87,88,80,48
14,137,131,127,123,107,98,91,92,85,53
15,142,135,131,126,110,102,95,95,89,58
16,146,138,134,129,113,106,99,99,93,64
17,150,142,138,131,116,110,103,102,97,69
18,154,145,141,134,119,114,107,106,101,74
19,159,149,145,137,122,118,111,109,105,79
20,163,152,148,140,125,122,115,113,109,84
21,167,156,152,142,128,126,119,116,113,89
22,171,159,155,145,131,131,123,120,117,95
23,176,163,159,148,134,135,127,124,121,100
24,180,166,162,151,137,139,131,127,125,105
