Score_bruto,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,4,0
6,0,0,0,8,0
7,0,0,0,12,0
8,0,0,0,16,0
9,3,0,1,20,0
10,8,0,6,24,0
11,13,0,11,27,0
12,18,0,15,31,0
13,24,4,20,35,0
14,29,10,25,39,0
15,34,16,29,43,0
16,39,22,34,47,0
17,44,28,39,50,0
18,50,34,43,54,0
19,55,40,48,58,0
20,60,46,53,62,0
21,65,51,58,66,0
22,70,57,62,70,0
23,76,63,67,74,4
24,81,69,72,77,13
25,86,75,76,81,22
26,91,81,81,85,31
27,96,87,86,89,39
28,102,93,90,93,48
29,107,99,95,97,57
30,112,105,100,100,66
31,117,111,104,104,75
32,122,116,109,108,83
33,128,122,114,112,92
34,133,128,118,116,101
35,138,134,123,120,110
36,143,140,128,123,119
