Score_bruto,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
7,0,4,0,0,0,0,0,0,0,0
8,0,11,0,0,0,0,0,0,0,0
9,0,17,0,0,0,0,0,0,0,0
10,0,23,0,0,0,0,0,0,0,0
11,0,29,0,0,0,0,0,0,0,0
12,0,36,0,0,0,0,0,0,0,0
13,0,42,0,0,0,0,0,0,0,0
14,9,48,0,0,0,0,0,0,0,0
15,20,54,0,0,0,0,0,0,0,0
16,30,61,9,0,0,0,0,0,0,0
17,41,67,22,4,0,0,0,0,0,0
18,51,73,34,19,0,0,0,0,7,0
19,62,79,47,34,0,11,0,0,23,0
20,73,86,59,49,4,30,0,0,40,0
21,83,92,71,64,30,50,4,10,57,0
22,94,98,84,79,56,69,38,42,74,0
23,104,105,96,94,82,89,72,73,90,0
24,115,111,108,109,108,108,106,105,107,100
